# Weather station Salem, India, WMO_ID=43325,selection from 11.07.2013 till 14.06.2018, all days
# Encoding: UTF-8
# The data is provided by the website "Reliable Prognosis", rp5.ru 
# If you use the data, please indicate the name of the website.
# For meteorological parameters see the address http://rp5.ru/archive.php?wmo_id=43325&lang=en
#
"Local time in Salem";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"21.06.2017 08:30";"27.6";"733.0";"756.2";"1.8";"78";"Calm, no wind";"0";"";"";"90  or more, but not 100%";" ";"";"";"24.2";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"Altocumulus translucidus at a single level.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"10.0";"23.5";"";"";"";"";"";"";
"21.06.2017 05:30";"26.0";"731.2";"754.6";"";"84";"Calm, no wind";"0";"";"";"90  or more, but not 100%";" ";"";"";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"40%.";"600-1000";"Altocumulus translucidus at a single level.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"4.0";"23.1";"";"";"";"";"";"";
"20.06.2017 17:30";"36.0";"729.1";"751.6";"";"38";"Wind blowing from the west";"3";"";"";"90  or more, but not 100%";" ";"";"";"";"37.8";"Stratocumulus cumulogenitus.";"40%.";"600-1000";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"19.5";"";"";"";"";"";"";
"20.06.2017 08:30";"29.4";"732.7";"755.7";"1.3";"67";"Wind blowing from the west";"2";"";"";"90  or more, but not 100%";" ";"";"";"27.0";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"Altocumulus translucidus at a single level.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"10.0";"22.7";"";"";"";"";"";"";
"20.06.2017 05:30";"28.0";"731.4";"754.6";"";"70";"Calm, no wind";"0";"";"";"70 – 80%.";" ";"";"";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"22.1";"";"";"";"";"";"";
"19.06.2017 17:30";"35.6";"728.9";"751.4";"";"38";"Wind blowing from the west-northwest";"3";"";"";"70 – 80%.";" ";"";"";"";"36.3";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"Altocumulus translucidus at a single level.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"10.0";"19.0";"";"";"";"";"";"";
"19.06.2017 08:30";"28.8";"731.8";"754.9";"1.2";"68";"Wind blowing from the west-southwest";"2";"";"";"90  or more, but not 100%";" ";"";"";"26.6";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"Altocumulus translucidus at a single level.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"10.0";"22.3";"";"";"";"";"";"";
"19.06.2017 05:30";"27.4";"730.6";"753.7";"";"74";"Calm, no wind";"0";"";"";"60%.";" ";"";"";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"Altocumulus translucidus at a single level.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"4.0";"22.4";"";"";"";"";"";"";
"18.06.2017 17:30";"37.2";"728.7";"751.0";"";"36";"Calm, no wind";"0";"";"";"70 – 80%.";" ";"";"";"";"38.0";"Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"Altocumulus translucidus at a single level.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"10.0";"19.6";"";"";"";"";"";"";
"18.06.2017 08:30";"30.2";"732.3";"755.2";"1.1";"60";"Wind blowing from the south-west";"2";"";"";"50%.";" ";"";"";"26.3";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"10.0";"21.6";"";"";"";"";"";"";
"18.06.2017 05:30";"27.4";"731.2";"754.3";"";"73";"Calm, no wind";"0";"";"";"60%.";" ";"";"";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"Altocumulus translucidus at a single level.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"4.0";"22.1";"";"";"";"";"";"";
"17.06.2017 17:30";"37.0";"729.1";"751.6";"";"37";"Wind blowing from the west-northwest";"3";"";"";"60%.";" ";"";"";"";"37.5";"Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"Altocumulus translucidus at a single level.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"10.0";"20.1";"";"";"";"";"";"";
"17.06.2017 08:30";"29.6";"732.7";"755.7";"1.0";"69";"Wind blowing from the west-northwest";"2";"";"";"50%.";" ";"";"";"26.8";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"Altocumulus translucidus at a single level.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"10.0";"23.2";"";"";"";"";"";"";
"17.06.2017 05:30";"27.6";"731.7";"754.9";"";"74";"Calm, no wind";"0";"";"";"50%.";" ";"";"";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"Altocumulus translucidus at a single level.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"4.0";"22.6";"";"";"";"";"";"";
"16.06.2017 17:30";"34.2";"730.3";"752.8";"";"48";"Wind blowing from the west";"2";"";"";"70 – 80%.";" ";"";"";"";"35.0";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"Altocumulus translucidus at a single level.";"Cirrus (often in bands) and Cirrostratus, or Cirrostratus alone, progressively invading the sky; they generally thicken as a whole, but the continuous veil does not reach 45 degrees above the horizon.";"10.0";"21.6";"";"";"";"";"";"";
"16.06.2017 08:30";"29.4";"732.7";"755.7";"1.3";"70";"Wind blowing from the west";"2";"";"";"60%.";" ";"";"";"27.0";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"Altocumulus translucidus at a single level.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"10.0";"23.3";"";"";"";"";"";"";
"16.06.2017 05:30";"27.8";"731.4";"754.6";"";"74";"Calm, no wind";"0";"";"";"60%.";" ";"";"";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"Altocumulus translucidus at a single level.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"4.0";"22.8";"";"";"";"";"";"";
"15.06.2017 17:30";"35.0";"729.7";"752.2";"";"43";"Wind blowing from the south-west";"2";"";"";"90  or more, but not 100%";" ";"";"";"";"36.6";"Stratocumulus cumulogenitus.";"40%.";"600-1000";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"20.8";"";"";"";"";"";"";
"15.06.2017 08:30";"29.8";"733.0";"756.1";"1.3";"77";"Wind blowing from the south-southwest";"3";"";"";"60%.";" ";"";"";"26.7";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"Altocumulus translucidus at a single level.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"10.0";"25.3";"";"";"";"";"";"";
"15.06.2017 05:30";"27.4";"731.7";"754.9";"";"77";"Calm, no wind";"0";"";"";"60%.";" ";"";"";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"Altocumulus translucidus at a single level.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"4.0";"23.0";"";"";"";"";"";"";
"14.06.2017 17:30";"36.0";"729.4";"751.9";"";"43";"Wind blowing from the west-northwest";"3";"";"";"70 – 80%.";" ";"";"";"";"37.3";"Cumulonimbus calvus, with or without Cumulus, Stratocumulus or Stratus.";"50%.";"600-1000";"Altocumulus translucidus at a single level.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"10.0";"21.7";"";"";"";"";"";"";
"14.06.2017 08:30";"30.0";"732.4";"755.4";"1.1";"73";"Wind blowing from the west-southwest";"3";"";"";"60%.";" ";"";"";"26.2";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"24.6";"";"";"";"";"";"";
"14.06.2017 05:30";"26.8";"731.3";"754.5";"";"80";"Calm, no wind";"0";"";"";"70 – 80%.";" ";"";"";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"Altocumulus translucidus at a single level.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"4.0";"23.0";"";"";"";"";"";"";
"13.06.2017 17:30";"33.2";"729.4";"752.0";"";"54";"Wind blowing from the south-southwest";"3";"";"";"60%.";" ";"";"";"";"34.3";"Stratocumulus other than Stratocumulus cumulogenitus.";"40%.";"600-1000";"Altocumulus translucidus at a single level.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"10.0";"22.7";"";"";"";"";"";"";
"13.06.2017 08:30";"27.6";"731.9";"755.1";"1.3";"76";"Wind blowing from the south-southwest";"3";"";"";"60%.";" ";"";"";"25.4";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"Altocumulus translucidus at a single level.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"10.0";"22.9";"";"";"";"";"";"";
"13.06.2017 05:30";"26.0";"730.6";"754.0";"";"78";"Calm, no wind";"0";"";"";"70 – 80%.";" ";"";"";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"Altocumulus translucidus at a single level.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"4.0";"21.8";"";"";"";"";"";"";
"12.06.2017 17:30";"33.4";"729.3";"751.9";"";"50";"Wind blowing from the south-southwest";"3";"";"";"100%.";" ";"";"";"";"35.1";"Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"Altocumulus translucidus at a single level.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"10.0";"21.6";"";"";"";"";"";"";
"12.06.2017 08:30";"26.8";"731.9";"755.2";"1.3";"74";"Wind blowing from the south-west";"2";"";"";"100%.";"Drizzle (not freezing) or snow grains not falling as shower(s). ";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"25.4";"";"Stratus nebulosus or Stratus fractus other than of bad weather, or both.";"20–30%.";"300-600";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"";"10.0";"21.7";"";"";"";"";"";"";
"12.06.2017 05:30";"26.0";"730.6";"753.9";"";"76";"Wind blowing from the north";"2";"";"";"90  or more, but not 100%";"State of sky on the whole unchanged. ";"Drizzle.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"40%.";"600-1000";"Altocumulus translucidus at a single level.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"4.0";"21.5";"";"";"";"";"";"";
"11.06.2017 17:30";"33.6";"729.1";"751.8";"";"43";"Wind blowing from the west";"3";"";"";"100%.";" ";"";"";"";"36.2";"Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"";"10.0";"19.4";"";"";"";"";"";"";
"11.06.2017 08:30";"27.4";"731.9";"755.1";"";"70";"Wind blowing from the south-west";"2";"";"";"90  or more, but not 100%";" ";"";"";"25.2";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"Altocumulus translucidus at a single level.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"10.0";"21.4";"";"";"";"";"";"";
"11.06.2017 05:30";"26.0";"731.0";"754.3";"";"72";"Wind blowing from the west";"2";"";"";"90  or more, but not 100%";" ";"";"";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"Altocumulus translucidus at a single level.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"4.0";"20.5";"";"";"";"";"";"";
"10.06.2017 17:30";"32.4";"729.5";"752.2";"";"53";"Wind blowing from the west-northwest";"3";"";"";"90  or more, but not 100%";" ";"";"";"";"34.2";"Stratocumulus other than Stratocumulus cumulogenitus.";"40%.";"600-1000";"Altocumulus translucidus at a single level.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"10.0";"21.5";"";"";"";"";"";"";
"10.06.2017 08:30";"27.6";"731.9";"755.1";"1.1";"66";"Wind blowing from the west";"3";"";"";"90  or more, but not 100%";" ";"";"";"25.6";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"Altocumulus translucidus at a single level.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"10.0";"20.6";"";"";"";"";"";"";
"10.06.2017 05:30";"26.4";"730.8";"754.0";"";"69";"Wind blowing from the west";"2";"";"";"90  or more, but not 100%";" ";"";"";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"40%.";"600-1000";"Altocumulus translucidus at a single level.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"4.0";"20.3";"";"";"";"";"";"";
