# Weather station Cherrapunji, India, WMO_ID=42515,selection from 26.01.2014 till 31.12.2017, all days
# Encoding: UTF-8
# The data is provided by the website "Reliable Prognosis", rp5.ru 
# If you use the data, please indicate the name of the website.
# For meteorological parameters see the address http://rp5.ru/archive.php?wmo_id=42515&lang=en
#
"Local time in Cherrapunji";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"14.07.2017 11:30";"21.8";"";"";"";"95";"Calm, no wind";"0";"";"";"100%.";" ";"";"";"";"";"Stratus nebulosus or Stratus fractus other than of bad weather, or both.";"60%.";"300-600";"Altocumulus translucidus at a single level.";"";"2.0";"20.9";"";"";"";"";"";"";
"14.07.2017 08:30";"21.6";"";"";"";"95";"Calm, no wind";"0";"";"";"100%.";" ";"";"";"17.8";"";"Stratus nebulosus or Stratus fractus other than of bad weather, or both.";"60%.";"200-300";"Altostratus opacus or Nimbostratus.";"";"0.5";"20.7";"";"";"";"";"";"";
"13.07.2017 17:30";"21.6";"";"";"";"95";"Calm, no wind";"0";"";"";"60%.";" ";"";"";"";"24.0";"Stratocumulus other than Stratocumulus cumulogenitus.";"40%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"20.7";"";"";"";"";"";"";
"13.07.2017 11:30";"21.2";"";"";"";"96";"Wind blowing from the east";"1";"";"";"100%.";" ";"";"";"";"";"Stratus nebulosus or Stratus fractus other than of bad weather, or both.";"70 – 80%.";"300-600";"Altocumulus translucidus at a single level.";"";"2.0";"20.6";"";"";"";"";"";"";
"13.07.2017 08:30";"20.4";"";"";"";"95";"Wind blowing from the north-east";"1";"";"";"100%.";" ";"";"";"17.2";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"60%.";"300-600";"Altostratus opacus or Nimbostratus.";"";"2.0";"19.5";"";"";"";"";"";"";
"12.07.2017 17:30";"21.8";"";"";"";"95";"Calm, no wind";"0";"";"";"70 – 80%.";" ";"";"";"";"22.2";"Stratocumulus other than Stratocumulus cumulogenitus.";"50%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"20.9";"";"";"";"";"";"";
"12.07.2017 11:30";"20.8";"";"";"";"100";"Calm, no wind";"0";"";"";"100%.";"Drizzle (not freezing) or snow grains not falling as shower(s). ";"Rain.";"Drizzle.";"";"";"Stratus fractus or Cumulus fractus of bad weather, or both (pannus), usually below Altostratus or Nimbostratus.";"60%.";"300-600";"Altostratus opacus or Nimbostratus.";"";"1.0";"20.8";"";"";"";"";"";"";
"12.07.2017 08:30";"19.4";"";"";"";"100";"Calm, no wind";"0";"";"";"Sky obscured by fog and/or other meteorological phenomena.";"Rain, not freezing, intermittent, slight at time of observation. ";"Rain.";"Rain.";"17.9";"";"";"";"";"";"";"0.2";"19.4";"";"";"";"";"";"";
"11.07.2017 17:30";"20.2";"";"";"";"100";"Calm, no wind";"0";"";"";"100%.";" ";"";"";"";"";"Stratus fractus or Cumulus fractus of bad weather, or both (pannus), usually below Altostratus or Nimbostratus.";"60%.";"200-300";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"";"0.5";"20.2";"";"";"";"";"";"";
"11.07.2017 11:30";"20.6";"";"";"";"100";"Calm, no wind";"0";"";"";"100%.";"Drizzle (not freezing) or snow grains not falling as shower(s). ";"Rain.";"Drizzle.";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"60%.";"300-600";"Altostratus opacus or Nimbostratus.";"";"2.0";"20.6";"";"";"";"";"";"";
"11.07.2017 08:30";"19.6";"";"";"";"100";"Calm, no wind";"0";"";"";"Sky obscured by fog and/or other meteorological phenomena.";"Rain, not freezing, intermittent, slight at time of observation. ";"Rain.";"Rain.";"17.8";"";"";"";"";"";"";"0.05";"19.6";"";"";"";"";"";"";
"10.07.2017 17:30";"19.8";"";"";"";"100";"Calm, no wind";"0";"";"";"Sky obscured by fog and/or other meteorological phenomena.";"Rain, not freezing, intermittent, slight at time of observation. ";"Rain.";"Rain.";"";"";"";"";"";"";"";"0.2";"19.8";"";"";"";"";"";"";
"10.07.2017 11:30";"20.0";"";"";"";"100";"Wind blowing from the south-west";"1";"";"";"100%.";"Rain, not freezing, continuous, moderate at time of observation. ";"Rain.";"Rain.";"";"";"Stratus fractus or Cumulus fractus of bad weather, or both (pannus), usually below Altostratus or Nimbostratus.";"70 – 80%.";"100-200";"Altostratus opacus or Nimbostratus.";"";"0.5";"20.0";"";"";"";"";"";"";
"10.07.2017 08:30";"19.6";"";"";"";"100";"Wind blowing from the south-west";"2";"";"";"Sky obscured by fog and/or other meteorological phenomena.";"Rain, not freezing, continuous, slight at time of observation. ";"Rain.";"Rain.";"17.8";"";"";"";"";"";"";"0.2";"19.6";"";"";"";"";"";"";
"09.07.2017 17:30";"20.0";"";"";"";"100";"Wind blowing from the south-west";"2";"";"";"Sky obscured by fog and/or other meteorological phenomena.";"Rain, not freezing, intermittent, slight at time of observation. ";"Rain.";"Drizzle.";"";"20.8";"";"";"";"";"";"0.2";"20.0";"";"";"";"";"";"";
"09.07.2017 11:30";"19.6";"";"";"";"100";"Wind blowing from the south-west";"2";"";"";"Sky obscured by fog and/or other meteorological phenomena.";"Rain, not freezing, continuous, slight at time of observation. ";"Rain.";"Rain.";"";"";"";"";"";"";"";"0.2";"19.6";"";"";"";"";"";"";
"09.07.2017 08:30";"19.6";"";"";"";"100";"Wind blowing from the south-west";"3";"";"";"Sky obscured by fog and/or other meteorological phenomena.";"Rain, not freezing, continuous, moderate at time of observation. ";"Rain.";"Rain.";"17.8";"";"";"";"";"";"";"0.2";"19.6";"";"";"";"";"";"";
"08.07.2017 17:30";"20.2";"";"";"";"100";"Wind blowing from the south-west";"3";"";"";"Sky obscured by fog and/or other meteorological phenomena.";"Rain, not freezing, intermittent, slight at time of observation. ";"Rain.";"Rain.";"";"21.2";"";"";"";"";"";"0.2";"20.2";"";"";"";"";"";"";
"08.07.2017 11:30";"20.2";"";"";"";"100";"Wind blowing from the south-west";"1";"";"";"Sky obscured by fog and/or other meteorological phenomena.";"Drizzle, not freezing, intermittent, slight at time of observation. ";"Rain.";"Drizzle.";"";"";"";"";"";"";"";"0.2";"20.2";"";"";"";"";"";"";
"08.07.2017 08:30";"20.2";"";"";"";"100";"Wind blowing from the south-west";"1";"";"";"Sky obscured by fog and/or other meteorological phenomena.";"Rain, not freezing, intermittent, slight at time of observation. ";"Rain.";"Rain.";"18.5";"";"";"";"";"";"";"0.2";"20.2";"";"";"";"";"";"";
"07.07.2017 17:30";"21.2";"";"";"";"96";"Calm, no wind";"0";"";"";"90  or more, but not 100%";" ";"";"";"";"22.2";"Stratocumulus other than Stratocumulus cumulogenitus.";"60%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"20.6";"";"";"";"";"";"";
"07.07.2017 11:30";"20.6";"";"";"";"100";"Wind blowing from the south-west";"1";"";"";"Sky obscured by fog and/or other meteorological phenomena.";"Rain, not freezing, continuous, slight at time of observation. ";"Rain.";"Rain.";"";"";"";"";"";"";"";"0.2";"20.6";"";"";"";"";"";"";
"07.07.2017 08:30";"20.2";"";"";"";"100";"Calm, no wind";"0";"";"";"Sky obscured by fog and/or other meteorological phenomena.";"Rain, not freezing, continuous, slight at time of observation. ";"Rain.";"Rain.";"18.5";"";"";"";"";"";"";"0.2";"20.2";"";"";"";"";"";"";
"06.07.2017 17:30";"21.6";"";"";"";"98";"Calm, no wind";"0";"";"";"90  or more, but not 100%";" ";"";"";"";"24.2";"Stratocumulus other than Stratocumulus cumulogenitus.";"60%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"2.0";"21.3";"";"";"";"";"";"";
"06.07.2017 11:30";"20.8";"";"";"";"100";"Calm, no wind";"0";"";"";"Sky obscured by fog and/or other meteorological phenomena.";"Drizzle, not freezing, intermittent, slight at time of observation. ";"Rain.";"Drizzle.";"";"";"";"";"";"";"";"0.2";"20.8";"";"";"";"";"";"";
"06.07.2017 08:30";"20.4";"";"";"";"100";"Calm, no wind";"0";"";"";"Sky obscured by fog and/or other meteorological phenomena.";"Rain, not freezing, intermittent, slight at time of observation. ";"Rain.";"Rain.";"18.6";"";"";"";"";"";"";"0.2";"20.4";"";"";"";"";"";"";
"05.07.2017 17:30";"21.2";"";"";"";"100";"Calm, no wind";"0";"";"";"Sky obscured by fog and/or other meteorological phenomena.";"Rain, not freezing, intermittent, slight at time of observation. ";"Rain.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"21.7";"";"";"";"";"";"0.2";"21.2";"";"";"";"";"";"";
"05.07.2017 11:30";"21.0";"";"";"";"100";"Calm, no wind";"0";"";"";"Sky obscured by fog and/or other meteorological phenomena.";"Rain, not freezing, intermittent, slight at time of observation. ";"Rain.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"";"";"";"";"";"0.2";"21.0";"";"";"";"";"";"";
"05.07.2017 08:30";"20.4";"";"";"";"100";"Wind blowing from the south-west";"1";"";"";"Sky obscured by fog and/or other meteorological phenomena.";"Rain, not freezing, intermittent, slight at time of observation. ";"Rain.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"18.2";"";"";"";"";"";"";"0.2";"20.4";"";"";"";"";"";"";
"04.07.2017 17:30";"20.6";"";"";"";"100";"Calm, no wind";"0";"";"";"100%.";"Drizzle, not freezing, intermittent, slight at time of observation. ";"Rain.";"Drizzle.";"";"21.2";"Stratus fractus or Cumulus fractus of bad weather, or both (pannus), usually below Altostratus or Nimbostratus.";"70 – 80%.";"200-300";"Altostratus opacus or Nimbostratus.";"";"0.5";"20.6";"";"";"";"";"";"";
"04.07.2017 11:30";"21.0";"";"";"";"98";"Wind blowing from the south-west";"2";"";"";"Sky obscured by fog and/or other meteorological phenomena.";"Rain, not freezing, intermittent, slight at time of observation. ";"Rain.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"";"";"";"";"";"0.2";"20.7";"";"";"";"";"";"";
"04.07.2017 08:30";"20.4";"";"";"";"100";"Calm, no wind";"0";"";"";"100%.";"Rain, not freezing, intermittent, slight at time of observation. ";"Rain.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"18.9";"";"Stratus fractus or Cumulus fractus of bad weather, or both (pannus), usually below Altostratus or Nimbostratus.";"60%.";"200-300";"Altostratus opacus or Nimbostratus.";"";"1.0";"20.4";"";"";"";"";"";"";
"03.07.2017 17:30";"20.2";"";"";"";"100";"Wind blowing from the south";"1";"";"";"100%.";"Rain, not freezing, intermittent, slight at time of observation. ";"Rain.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"21.7";"Stratus fractus or Cumulus fractus of bad weather, or both (pannus), usually below Altostratus or Nimbostratus.";"60%.";"200-300";"Altostratus opacus or Nimbostratus.";"";"0.5";"20.2";"";"";"";"";"";"";
"03.07.2017 11:30";"21.4";"";"";"";"100";"Wind blowing from the east";"2";"";"";"100%.";"Rain, not freezing, intermittent, slight at time of observation. ";"Rain.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Stratus fractus or Cumulus fractus of bad weather, or both (pannus), usually below Altostratus or Nimbostratus.";"70 – 80%.";"200-300";"Altostratus opacus or Nimbostratus.";"";"0.5";"21.4";"";"";"";"";"";"";
"03.07.2017 08:30";"20.4";"";"";"";"100";"Wind blowing from the east";"2";"";"";"100%.";"Rain, not freezing, continuous, slight at time of observation. ";"Rain.";"Rain.";"18.8";"";"Stratus fractus or Cumulus fractus of bad weather, or both (pannus), usually below Altostratus or Nimbostratus.";"50%.";"200-300";"Altostratus opacus or Nimbostratus.";"";"0.5";"20.4";"";"";"";"";"";"";
"02.07.2017 17:30";"20.4";"";"";"";"100";"Wind blowing from the south-west";"3";"";"";"100%.";"Rain, not freezing, intermittent, slight at time of observation. ";"Rain.";"Rain.";"";"21.2";"Stratus fractus or Cumulus fractus of bad weather, or both (pannus), usually below Altostratus or Nimbostratus.";"50%.";"200-300";"Altostratus opacus or Nimbostratus.";"";"0.5";"20.4";"";"";"";"";"";"";
"02.07.2017 11:30";"20.6";"";"";"";"100";"Wind blowing from the south-west";"2";"";"";"100%.";"Rain, not freezing, continuous, moderate at time of observation. ";"Rain.";"Rain.";"";"";"Stratus fractus or Cumulus fractus of bad weather, or both (pannus), usually below Altostratus or Nimbostratus.";"50%.";"200-300";"Altostratus opacus or Nimbostratus.";"";"1.0";"20.6";"";"";"";"";"";"";
"02.07.2017 08:30";"20.0";"";"";"";"100";"Wind blowing from the south-west";"2";"";"";"Sky obscured by fog and/or other meteorological phenomena.";"Rain, not freezing, continuous, moderate at time of observation. ";"Rain.";"Rain.";"18.3";"";"";"";"";"";"";"0.2";"20.0";"";"";"";"";"";"";
"01.07.2017 17:30";"20.4";"";"";"";"100";"Wind blowing from the south-west";"2";"";"";"100%.";"Rain, not freezing, intermittent, slight at time of observation. ";"Rain.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Stratus fractus or Cumulus fractus of bad weather, or both (pannus), usually below Altostratus or Nimbostratus.";"50%.";"200-300";"Altostratus opacus or Nimbostratus.";"";"2.0";"20.4";"";"";"";"";"";"";
"01.07.2017 11:30";"20.2";"";"";"";"100";"Wind blowing from the south-west";"3";"";"";"Sky obscured by fog and/or other meteorological phenomena.";"Rain, not freezing, intermittent, slight at time of observation. ";"Rain.";"Rain.";"";"";"";"";"";"";"";"0.2";"20.2";"";"";"";"";"";"";
"01.07.2017 08:30";"20.0";"";"";"";"100";"Wind blowing from the south-west";"2";"";"";"Sky obscured by fog and/or other meteorological phenomena.";"Drizzle, not freezing, intermittent, slight at time of observation. ";"Rain.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"18.7";"";"";"";"";"";"";"0.2";"20.0";"";"";"";"";"";"";
"30.06.2017 17:30";"20.4";"";"";"";"100";"Wind blowing from the south-west";"2";"";"";"Sky obscured by fog and/or other meteorological phenomena.";"Rain, not freezing, intermittent, slight at time of observation. ";"Rain.";"Rain.";"";"21.2";"";"";"";"";"";"0.2";"20.4";"";"";"";"";"";"";
"30.06.2017 11:30";"21.0";"";"";"";"100";"Wind blowing from the south-west";"2";"";"";"Sky obscured by fog and/or other meteorological phenomena.";"Rain, not freezing, intermittent, slight at time of observation. ";"Rain.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"";"";"";"";"";"0.2";"21.0";"";"";"";"";"";"";
"30.06.2017 08:30";"20.0";"";"";"";"100";"Wind blowing from the south-west";"2";"";"";"Sky obscured by fog and/or other meteorological phenomena.";"Rain, not freezing, intermittent, slight at time of observation. ";"Rain.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"18.2";"";"";"";"";"";"";"0.2";"20.0";"";"";"";"";"";"";
"29.06.2017 17:30";"22.0";"";"";"";"88";"Calm, no wind";"0";"";"";"70 – 80%.";" ";"";"";"";"24.8";"Stratocumulus cumulogenitus.";"40%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"19.9";"";"";"";"";"";"";
"29.06.2017 11:30";"23.4";"";"";"";"91";"Calm, no wind";"0";"";"";"90  or more, but not 100%";" ";"";"";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"50%.";"300-600";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"2.0";"21.9";"";"";"";"";"";"";
"29.06.2017 08:30";"21.4";"";"";"";"93";"Calm, no wind";"0";"";"";"90  or more, but not 100%";" ";"";"";"18.4";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"60%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"20.2";"";"";"";"";"";"";
"28.06.2017 17:30";"21.8";"";"";"";"86";"Calm, no wind";"0";"";"";"70 – 80%.";" ";"";"";"";"24.6";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"19.4";"";"";"";"";"";"";
"28.06.2017 11:30";"22.2";"";"";"";"96";"Calm, no wind";"0";"";"";"100%.";"State of sky on the whole unchanged. ";"Rain.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"60%.";"600-1000";"Altocumulus translucidus at a single level.";"";"4.0";"21.6";"";"";"";"";"";"";
"28.06.2017 08:30";"19.0";"";"";"";"100";"Calm, no wind";"0";"";"";"100%.";"Drizzle, not freezing, intermittent, slight at time of observation. ";"Rain.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"17.9";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"60%.";"600-1000";"Altocumulus translucidus at a single level.";"";"4.0";"19.0";"";"";"";"";"";"";
"27.06.2017 17:30";"22.2";"";"";"";"93";"Calm, no wind";"0";"";"";"70 – 80%.";"Clouds generally dissolving or becoming less developed. ";"Drizzle.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"23.9";"Stratocumulus other than Stratocumulus cumulogenitus.";"40%.";"600-1000";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"21.0";"";"";"";"";"";"";
"27.06.2017 11:30";"22.0";"";"";"";"96";"Calm, no wind";"0";"";"";"Sky obscured by fog and/or other meteorological phenomena.";"Mist. ";"Drizzle.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"";"";"";"";"";"0.2";"21.4";"";"";"";"";"";"";
"27.06.2017 08:30";"20.4";"";"";"";"100";"Calm, no wind";"0";"";"";"Sky obscured by fog and/or other meteorological phenomena.";"Drizzle, not freezing, intermittent, slight at time of observation. ";"Rain.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"18.5";"";"";"";"";"";"";"0.2";"20.4";"";"";"";"";"";"";
"26.06.2017 17:30";"22.0";"";"";"";"90";"Calm, no wind";"0";"";"";"70 – 80%.";" ";"";"";"";"24.2";"Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"20.2";"";"";"";"";"";"";
"26.06.2017 11:30";"22.6";"";"";"";"83";"Calm, no wind";"0";"";"";"90  or more, but not 100%";" ";"";"";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"50%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"19.6";"";"";"";"";"";"";
"26.06.2017 08:30";"22.8";"";"";"";"88";"Calm, no wind";"0";"";"";"70 – 80%.";" ";"";"";"17.8";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"40%.";"300-600";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"20.7";"";"";"";"";"";"";
