"Local time in Sundernagar","T","Po","P","Pa","U","DD","Ff","ff10","ff3","N","WW","W1","W2","Tn","Tx","Cl","Nh","H","Cm","Ch","VV","Td","RRR","tR","E","Tg","E'","sss"," "
"10.07.2017 11:30","27.6","680.5","","-0.9","80","Wind blowing from the west-northwest","1","","","50%.","Mist. ","Thunderstorm(s) with or without precipitation.","Rain.","","","Cumulus humilis or Cumulus fractus other than of bad weather, or both.","10%  or less, but not 0","600-1000","Altocumulus translucidus in bands, or one or more layers of Altocumulus translucidus or opacus, progressively invading the sky, these Altocumulus clouds generally thicken as a whole.","No Cirrus, Cirrocumulus or Cirrostratus.","2.0","23.9","","","","","","",
"10.07.2017 08:30","22.0","681.4","","1.2","98","Calm, no wind","0","","","90  or more, but not 100%","Slight rain at time of observation. Thunderstorm during the preceding hour but not at time of observation. ","Thunderstorm(s) with or without precipitation.","Rain.","20.4","","Stratus fractus or Cumulus fractus of bad weather, or both (pannus), usually below Altostratus or Nimbostratus.","60%.","Less than  50","Altostratus opacus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.","2.0","21.7","","","","","","",
"10.07.2017 05:30","22.4","680.2","","","100","Wind blowing from the north-east","3","","","100%.","Thunderstorm, slight or moderate, without hail, but with rain and/or snow at time of observation. ","Thunderstorm(s) with or without precipitation.","Rain.","","","Cumulonimbus capillatus (often with an anvil), with or without Cumulonimbus calvus, Cumulus, Stratocumulus, Stratus or pannus.","70 – 80%.","600-1000","Altostratus opacus or Nimbostratus.","","1.0","22.4","","","","","","",
"09.07.2017 20:30","29.0","679.2","","0.4","74","Calm, no wind","0","","","100%.","Slight rain at time of observation. Thunderstorm during the preceding hour but not at time of observation. ","Thunderstorm(s) with or without precipitation.","Rain.","","","Cumulonimbus capillatus (often with an anvil), with or without Cumulonimbus calvus, Cumulus, Stratocumulus, Stratus or pannus.","60%.","600-1000","Altostratus opacus or Nimbostratus.","","1.0","24.0","","","","","","",
"09.07.2017 17:30","32.2","678.8","","","61","Calm, no wind","0","","","90  or more, but not 100%","Haze. ","Fog or ice fog or thick haze.","Cloud covering more than 1/2 of the sky throughout the appropriate period.","","33.6","Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.","60%.","600-1000","Altostratus opacus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.","1.0","23.8","","","","","","",
"09.07.2017 14:30","32.5","679.5","","-0.9","60","Calm, no wind","0","","","60%.","Haze. ","Fog or ice fog or thick haze.","Cloud covering more than 1/2 of the sky throughout the appropriate period.","","","Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.","60%.","600-1000","No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.","1.0","23.7","","","","","","",
"09.07.2017 11:30","29.4","680.4","","0.4","69","Calm, no wind","0","","","90  or more, but not 100%","Drizzle (not freezing) or snow grains not falling as shower(s). ","Drizzle.","Fog or ice fog or thick haze.","","","Cumulus humilis or Cumulus fractus other than of bad weather, or both.","20–30%.","600-1000","Altocumulus translucidus at a single level.","No Cirrus, Cirrocumulus or Cirrostratus.","1.0","23.2","","","","","","",
"09.07.2017 08:30","26.0","680.0","","0.1","83","Calm, no wind","0","","","100%.","Mist. ","Fog or ice fog or thick haze.","Cloud covering more than 1/2 of the sky throughout the appropriate period.","23.1","","Stratocumulus other than Stratocumulus cumulogenitus.","50%.","1000-1500","Altostratus opacus or Nimbostratus.","","1.0","22.9","","","","","","",
"09.07.2017 05:30","24.6","679.9","","","89","Calm, no wind","0","","","100%.","Mist. ","Fog or ice fog or thick haze.","Cloud covering more than 1/2 of the sky throughout the appropriate period.","","","No Stratocumulus, Stratus, Cumulus or Cumulonimbus.","100%.","2000-2500","Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.","","1.0","22.7","","","","","","",
"08.07.2017 20:30","28.0","679.4","","0.7","77","Wind blowing from the south-west","1","","","20–30%.","Mist. ","Thunderstorm(s) with or without precipitation.","Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.","","","Stratocumulus cumulogenitus.","20–30%.","600-1000","No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.","2.0","23.5","","","","","","",
"08.07.2017 17:30","33.4","678.7","","","52","Calm, no wind","0","","","50%.","Haze. ","Cloud covering more than 1/2 of the sky throughout the appropriate period.","Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.","","34.1","Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.","50%.","600-1000","No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.","2.0","22.4","","","","","","",
"08.07.2017 14:30","32.4","680.0","","-1.1","57","Calm, no wind","0","","","70 – 80%.","Haze. ","Fog or ice fog or thick haze.","Cloud covering more than 1/2 of the sky throughout the appropriate period.","","","Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.","70 – 80%.","600-1000","No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.","1.0","22.8","","","","","","",
"08.07.2017 11:30","32.6","681.1","","-0.4","55","Wind blowing from the north-northwest","1","","","60%.","Haze. ","Fog or ice fog or thick haze.","Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.","","","Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.","20–30%.","600-1000","Altocumulus translucidus at a single level.","No Cirrus, Cirrocumulus or Cirrostratus.","1.0","22.5","","","","","","",
"08.07.2017 08:30","27.0","681.5","","0.4","75","Calm, no wind","0","","","10%  or less, but not 0","Mist. ","Fog or ice fog or thick haze.","Fog or ice fog or thick haze.","21.1","","Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.","10%  or less, but not 0","600-1000","No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.","1.0","22.1","","","","","","",
"08.07.2017 05:30","21.9","681.1","","","94","Calm, no wind","0","","","40%.","Mist. ","Fog or ice fog or thick haze.","Cloud covering 1/2 or less of the sky throughout the appropriate period.","","","No Stratocumulus, Stratus, Cumulus or Cumulonimbus.","40%.","2500 or more, or no clouds.","Altocumulus translucidus at a single level.","No Cirrus, Cirrocumulus or Cirrostratus.","1.0","20.9","","","","","","",
"07.07.2017 20:30","25.6","680.3","","0.0","83","Calm, no wind","0","","","40%.","Haze. ","Fog or ice fog or thick haze.","Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.","","","No Stratocumulus, Stratus, Cumulus or Cumulonimbus.","40%.","2500 or more, or no clouds.","Altocumulus translucidus at a single level.","No Cirrus, Cirrocumulus or Cirrostratus.","1.0","22.4","","","","","","",
"07.07.2017 17:30","29.4","680.3","","-0.8","71","Calm, no wind","0","","","60%.","Haze. ","Fog or ice fog or thick haze.","Cloud covering more than 1/2 of the sky throughout the appropriate period.","","30.8","Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.","10%  or less, but not 0","600-1000","Altocumulus translucidus at a single level.","No Cirrus, Cirrocumulus or Cirrostratus.","1.0","23.7","","","","","","",
"07.07.2017 14:30","29.4","681.1","","-0.1","68","Wind blowing from the north","1","","","90  or more, but not 100%","Haze. ","Fog or ice fog or thick haze.","Cloud covering more than 1/2 of the sky throughout the appropriate period.","","","Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.","50%.","600-1000","Altostratus opacus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.","1.0","22.9","","","","","","",
"07.07.2017 11:30","28.6","681.2","","0.4","68","Calm, no wind","0","","","100%.","Haze. ","Fog or ice fog or thick haze.","Cloud covering more than 1/2 of the sky throughout the appropriate period.","","","Stratocumulus other than Stratocumulus cumulogenitus.","40%.","1000-1500","Altostratus opacus or Nimbostratus.","","1.0","22.0","","","","","","",
"07.07.2017 08:30","25.6","680.8","","0.7","87","Calm, no wind","0","","","70 – 80%.","Mist. ","Fog or ice fog or thick haze.","Cloud covering more than 1/2 of the sky throughout the appropriate period.","23.5","","Stratocumulus other than Stratocumulus cumulogenitus.","10%  or less, but not 0","1000-1500","Altocumulus translucidus at a single level.","No Cirrus, Cirrocumulus or Cirrostratus.","1.0","23.3","","","","","","",
"07.07.2017 05:30","24.4","680.1","","","90","Calm, no wind","0","","","90  or more, but not 100%","Mist. ","Fog or ice fog or thick haze.","Fog or ice fog or thick haze.","","","No Stratocumulus, Stratus, Cumulus or Cumulonimbus.","90  or more, but not 100%","2500 or more, or no clouds.","Altocumulus translucidus at a single level.","No Cirrus, Cirrocumulus or Cirrostratus.","1.0","22.7","","","","","","",
"06.07.2017 20:30","27.5","679.4","","1.5","77","Wind blowing from the south-west","2","","","90  or more, but not 100%","Mist. ","Cloud covering more than 1/2 of the sky throughout the appropriate period.","Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.","","","Stratocumulus other than Stratocumulus cumulogenitus.","50%.","1000-1500","Altocumulus translucidus at a single level.","No Cirrus, Cirrocumulus or Cirrostratus.","2.0","23.1","","","","","","",
"06.07.2017 17:30","31.0","677.9","","-0.5","59","Wind blowing from the south-east","1","","","60%.","Haze. ","Cloud covering more than 1/2 of the sky throughout the appropriate period.","Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.","","33.5","Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.","20–30%.","600-1000","Altocumulus translucidus at a single level.","No Cirrus, Cirrocumulus or Cirrostratus.","2.0","22.2","","","","","","",
"06.07.2017 14:30","32.2","678.4","","-0.9","56","Wind blowing from the south","2","","","60%.","Haze. ","Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.","Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.","","","Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.","50%.","600-1000","Altocumulus translucidus at a single level.","No Cirrus, Cirrocumulus or Cirrostratus.","1.0","22.3","","","","","","",
"06.07.2017 11:30","31.6","679.3","","-0.4","61","Wind blowing from the south","1","","","90  or more, but not 100%","Haze. ","Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.","Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.","","","Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.","20–30%.","600-1000","Altocumulus translucidus at a single level.","No Cirrus, Cirrocumulus or Cirrostratus.","2.0","23.2","","","","","","",
"06.07.2017 08:30","24.9","679.7","","0.4","83","Wind blowing from the north-west","1","","","50%.","Mist. ","Fog or ice fog or thick haze.","Cloud covering more than 1/2 of the sky throughout the appropriate period.","22.1","","No Stratocumulus, Stratus, Cumulus or Cumulonimbus.","50%.","2000-2500","Altocumulus translucidus at a single level.","No Cirrus, Cirrocumulus or Cirrostratus.","2.0","21.9","","","","","","",
"06.07.2017 05:30","23.2","679.3","","","90","Calm, no wind","0","","","100%.","Mist. ","Fog or ice fog or thick haze.","Cloud covering more than 1/2 of the sky throughout the appropriate period.","","","Stratus fractus or Cumulus fractus of bad weather, or both (pannus), usually below Altostratus or Nimbostratus.","10%  or less, but not 0","50-100","Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.","","2.0","21.4","","","","","","",
